run_id,phase,created_at,purpose,status,model_name,prompt_tokens,cache_read_tokens,cache_write_tokens,cache_miss_tokens,duration_ms
current_cold,优化后冷运行,2026-09-08 22:08:29.193498,wiki_page_modify,success,qwen3.7-plus,8528,2304,0,6224,18271
current_cold,优化后冷运行,2026-09-08 22:08:38.587806,wiki_page_modify,success,qwen3.7-plus,6361,2304,0,4057,9319
current_cold,优化后冷运行,2026-09-08 22:09:46.51836,wiki_page_modify,success,qwen3.7-plus,17748,2304,0,15444,67572
current_cold,优化后冷运行,2026-09-08 22:09:56.594684,wiki_page_modify,success,qwen3.7-plus,7146,2304,0,4842,9932
current_cold,优化后冷运行,2026-09-08 22:10:09.613792,wiki_page_modify,success,qwen3.7-plus,6201,2304,0,3897,12948
current_cold,优化后冷运行,2026-09-08 22:10:49.042668,wiki_page_modify,success,qwen3.7-plus,8151,2304,0,5847,39177
current_cold,优化后冷运行,2026-09-08 22:11:03.091991,wiki_page_modify,success,qwen3.7-plus,10013,2304,0,7709,13951
current_cold,优化后冷运行,2026-09-08 22:11:13.39073,wiki_page_modify,success,qwen3.7-plus,6333,2304,0,4029,10151
current_cold,优化后冷运行,2026-09-08 22:11:32.611586,wiki_page_modify,success,qwen3.7-plus,12612,2304,0,10308,19174
current_cold,优化后冷运行,2026-09-08 22:12:18.858248,wiki_page_modify,success,qwen3.7-plus,12271,2304,0,9967,45957
current_cold,优化后冷运行,2026-09-08 22:12:39.838464,wiki_page_modify,success,qwen3.7-plus,9777,2304,0,7473,20800
current_cold,优化后冷运行,2026-09-08 22:12:59.958967,wiki_page_modify,success,qwen3.7-plus,11835,2304,0,9531,19937
current_cold,优化后冷运行,2026-09-08 22:13:27.715471,wiki_index_intro,success,qwen3.7-plus,377,0,0,377,2536
current_warm,优化后热运行,2026-09-08 22:17:52.727495,wiki_candidate_slug,success,qwen3.7-plus,17879,0,0,17879,27269
